nome|cliente_id|dt_nascimento
Cliente 100013|100013|1964-06-21
Cliente 100014|100014|1964-05-24
Cliente 100015|100015|1946-10-18
Cliente 100016|100016|1972-03-24
Cliente 100017|100017|1982-01-19
Cliente 100018|100018|1983-04-26
Cliente 100019|100019|1971-09-09
Cliente 100020|100020|1989-06-18
Cliente 100007|100007|1976-11-04
Cliente 100008|100008|1980-12-01
Cliente 100009|100009|1981-03-05
Cliente 100010|100010|1984-03-20
Cliente 100011|100011|1977-11-22
Cliente 100012|100012|1974-02-04
Cliente 100001|100001|2009-04-16
Cliente 100002|100002|1974-08-29
Cliente 100003|100003|1981-12-05
Cliente 100004|100004|1968-08-08
Cliente 100005|100005|1982-11-29
Cliente 100006|100006|1948-04-01
